label		fitness		size		width		height		num_rigid		num_soft		num_h		num_v		elongation		eccentricity		reward
0		10.468758		13		5		5		2		3		6		2		0.3565395598485259		0.8666666666666667		2.6326375,2.625031375,2.0198522,1.6613583000000003,2.2234030000000002,2.2544828,2.3226206,2.3321296,2.6449464,2.6451271,2.6283199999999995,2.4085378,2.4556050000000003,2.8962581,2.9213861999999997,2.979129,3.1852597000000005,3.6105016,3.728433999999999,3.9793526,4.0468785,4.0918732,4.0829550999999995,4.101116,4.1011358,4.404705099999999,5.554451899999999,6.0767252,6.970904999999999,5.551348899999999,4.284703299999999,5.4519836,6.232236800000001,5.731565000000001,4.0485102,4.5937421,5.727950600000001,6.4637659,6.8736429999999995,6.6045617,8.1002205,8.451809299999999,7.7762233,7.2564988,7.8576401,8.5853966,7.7337802,7.824418800000001,8.0743201,8.213816699999999,7.8930788,8.0595006,8.142382900000001,8.3692532,7.8994454,8.5943869,9.15483,8.7282671,8.9020206,9.561257999999999,8.6984873,8.837582399999999,8.454998899999998,9.312868300000002,9.2665407,9.2168535,9.1687379,9.107397800000001,8.4623706,8.4206606,8.4112845,8.3786221,9.0444005,9.09056,9.192716,9.173306900000002,9.133511600000002,7.755244099999999,9.1151678,9.0533384,9.018598,8.366108200000001,7.693152,7.7043683000000005,8.3706843,7.0338384000000005,6.348797500000001,7.6773111,9.001063499999999,8.3321314,8.3571433,7.674750399999999,8.351882799999998,8.339922099999999,7.6990318,9.0257089,9.014873,8.352791499999999,7.675579099999998,8.3454223
1		10.447861		13		5		5		2		3		6		2		0.4248894475888326		0.8666666666666667		2.5991797500000002,2.6148363750000003,2.6181568,2.6334948000000002,2.6306926000000006,2.6281718,2.6163027000000003,2.6277185999999997,2.6345359999999998,2.6333642,2.6436911999999997,2.6429397,2.6610888000000004,2.7434962,2.8189565,2.9710953000000004,3.1011431000000003,3.2840032999999997,3.2985409,3.2810992,3.3404515000000004,3.3203112,3.3477529999999995,3.3501436,3.3427915999999995,3.3630252,3.3695119000000004,3.3647593000000002,3.4134137999999994,3.4399653,3.4851491,3.5129714,3.563325,3.5347614999999997,3.5019106,3.5706482,4.7080866,4.6731642,3.7253155999999996,3.7123294000000002,3.6230827,3.5864736,4.6106462,4.062696799999999,4.0608538,4.0785521000000005,4.592254,4.617179,4.0738376,4.080323999999999,4.1269811,4.155752700000001,4.6961969,6.2291109,5.1670077,4.7072129,4.2218672999999995,4.2236994,4.7287458,4.725601999999999,4.1879203,3.6879264999999997,4.222484,4.1860336,4.6381027,5.653854900000001,6.1809477,4.744174600000001,5.288689100000001,6.2518436,7.7981853,8.5797274,8.0346222,8.384965499999998,8.5925005,8.614311599999999,8.8684261,8.8850976,9.035777200000002,9.016707399999998,9.0184125,9.0377206,9.096801899999999,9.034256800000001,9.1122559,9.101609200000002,9.1248456,9.114462499999998,9.266171,9.3239647,9.3814104,9.3565393,9.3419694,9.2840002,9.282129700000002,9.3478452,9.3224037,9.253924000000001,9.251425000000001,9.337236100000002
2		10.232875		14		5		5		3		4		4		3		0.5311118094860408		1.0		2.6109377499999997,2.6065558749999997,2.6112171,2.6137662999999995,2.6140939,2.6150078,2.6112229,2.6074716,2.6119839,2.6169615999999998,2.6224803,2.6231562999999998,2.6220632000000004,2.629345099999999,2.6255248,2.6223556,2.6218360000000005,2.6242291,2.6241358999999997,2.6304764,2.6292741,2.6312561000000003,2.629863,2.6350536,2.6382654000000003,2.6366435999999998,2.6352492999999995,2.6375146999999997,2.6486633,2.6504169,2.6544334,2.6541363999999996,2.6560675,2.66184,2.6595899999999997,2.6527832,2.6498048000000005,2.6571193,2.6643633,2.6740014,2.6757528,2.6689354,2.6562028000000004,2.6595489,2.6682526,2.6744423999999998,2.6759749,2.6769169000000006,2.6785508,2.6871381999999997,2.6924048,2.6922899,2.6917454000000003,2.6904580000000005,2.6901679000000005,2.6967728,2.7023395,2.8729936,2.9459294999999996,2.9688359,3.2198969999999996,3.3803153999999997,3.4657833000000005,4.6374029000000005,4.0778112,3.8097473,3.6835454999999997,3.8965603,3.9158679000000007,3.9132860000000003,3.6386791,3.5196119,3.6476993999999996,3.6900439,3.6570107999999997,3.6262173000000004,3.532485500000001,4.0614619,4.4649515,4.7135867,4.2658979,4.3103737,4.258380900000001,4.2310642000000005,4.2382227,4.4377553999999995,4.6097136,4.8748126,5.468319299999999,5.3098746000000006,4.997568299999999,5.700970099999999,6.0942043,5.430448,5.9494835,6.880126799999999,8.6380043,8.675176400000002,8.663275299999999,8.885754500000001
11		9.213216		13		5		5		3		2		6		2		0.3565395598485259		0.8666666666666667		2.5866065000000003,2.60052925,2.0145431,1.6544324,1.9363857000000002,2.2204896,2.2369395,2.2404812,2.5342298000000003,2.5510141,2.61395,2.5854284,2.2986789,2.3650917,2.7215768000000002,2.4632397,2.5519111,2.4158958999999998,2.3264017,3.1355977000000004,3.4072467000000004,3.4018999,3.4615902999999997,3.4541977000000004,3.5384594999999996,3.5733656,3.5942301,3.6300087,3.7206131,3.7366921999999994,3.7837651,3.9050412999999997,3.9407738,3.9696314999999998,4.0136688,4.0562649,4.13048,4.0906396,3.9458321000000005,4.1062123,4.1345997,4.1270652,4.1184819,4.1672279,4.2737821,4.2320557,4.8780859,4.8930361,4.4358843,4.4901693,4.696168,5.2195030000000004,4.9879103,4.6172215,5.0363374,5.0519271,6.1556367000000005,6.312731200000001,6.665255200000002,6.3604581,7.1683132,7.776627700000001,8.7391867,7.215423800000001,6.5393114,7.275212599999999,9.2570415,8.0080721,8.5533653,8.0626857,9.2619699,9.290833799999998,8.8047882,8.807366,8.9660505,9.315598699999999,9.1868156,8.389805800000001,8.1333862,7.4139695,7.0632677,8.0632618,8.0556105,8.472779899999999,9.2397076,7.7446817999999995,7.862618299999999,7.766341799999999,8.3828498,8.918289900000001,8.8751535,8.9050236,8.8130175,8.817453400000002,8.469884599999999,7.271762899999999,7.2930724,6.3562446999999995,6.9231886000000005,8.613003099999997
13		8.985707		12		5		5		2		3		5		2		0.4248894475888326		0.9230769230769231		2.7466705,2.7542605,2.7542432000000003,2.7690279,2.7630829,2.7509707000000003,2.7581579,2.7635182000000005,2.7764391,2.7720897,2.7740726999999996,2.7756182,2.7778739,2.8905082999999996,2.8982224,3.0259143999999996,2.9547185000000002,3.0992904,3.2037123999999997,3.1441474,3.0789993,3.1079044,3.193922,3.2304775,3.2615218000000006,3.2885488,3.2942753000000002,3.3008876000000003,3.3199787,3.3033063,3.3144254,3.3429819000000003,3.3467038000000002,3.3536471,3.3503495,3.3820238000000002,3.3809300999999996,3.3852156,3.4021347,3.3802585,3.3871054000000003,3.3915159000000004,3.4815240000000003,3.4946358,3.5383225000000005,3.5462572999999997,3.5630668,3.5332252000000004,3.5869578000000004,3.6423706000000005,3.6683502,3.6117455,3.5956869999999994,3.6895112999999995,3.7053459,3.6067791999999996,3.7170942000000005,3.622983,3.5302997999999994,3.5640695,3.7475452,3.6928578,3.6892559,3.6825540000000005,3.6216812999999997,3.6138993,4.0877646,3.7001265000000005,3.894666,3.8855541000000002,3.8483848000000003,3.8511472999999996,3.9128087999999996,3.8601815999999998,3.9545383000000003,4.415449300000001,4.926958300000001,4.093172900000001,5.1833719,5.7114647000000005,5.7383196,5.2714871,5.78514,6.0719642,5.8716871,8.0591215,9.0828104,8.563105199999999,8.483982,8.993130699999998,8.5524193,8.1692096,8.179950100000001,8.7126367,8.5279305,8.6500161,8.5088353,8.505711199999999,9.0026987,8.8116367
19		8.794138		13		5		5		3		3		4		3		0.5311118094860408		1.0		2.6130525000000002,2.621308375,2.6186495,2.6177222,2.6181234,2.6182787999999997,2.6258325,2.6425243,2.6449509,2.6424576,2.6475421,2.6482084000000006,2.6470450000000003,2.6498936,2.6528733,2.6544905,2.6453563000000004,2.6387465,2.6589096999999997,2.6574113000000006,2.6647220000000003,2.6754795000000002,2.6688470000000004,2.6781569000000003,2.6935040999999997,2.6949025,2.6990206,2.699365,2.7161737999999995,2.7232683,2.7295064,2.7511544,2.7544168,2.79615,2.7763835000000006,3.4552237999999997,3.4576026,2.8230397000000003,5.389963,5.540888699999999,6.4344437999999995,7.2921387,6.633851899999999,7.1787842,7.219672300000001,8.2600178,6.7743364,6.163178,7.1747795,8.884629,8.8676811,8.829376700000001,8.813406700000002,8.293688800000002,7.8497271,8.3871969,8.2951377,8.3208428,8.3383532,8.8749871,7.7528356999999986,8.853133099999999,8.8319599,8.305400500000001,8.3242865,8.311671700000002,8.8201436,8.8188935,8.813478400000001,8.8093535,7.7258426,8.2374749,8.7785937,8.2564439,7.174019199999999,7.680649300000001,7.6899372999999995,7.1640601,7.9228351,7.352586299999999,6.831048300000001,5.745835799999999,6.2400716,7.259686700000001,6.6106503000000005,7.1989227,6.650370700000001,6.6455909,7.6774827000000005,7.7095050999999994,8.264289,7.381083800000001,7.31126,7.0869707,5.0753083000000005,5.9787923,6.4855463,6.212047999999999,6.7400515,6.0294793
6		8.715555		13		5		5		2		4		5		2		0.4248894475888326		0.8666666666666667		2.6083575,2.616257125,2.6214909000000004,2.6228735999999997,2.6326248000000003,2.6299695,2.6312107,2.6391647,2.636627,2.6434251,2.650189,2.6499035,2.6434558,2.6329903,2.6394851,2.6373895999999997,2.6385867999999997,2.6630476,2.661683,2.6641366,2.7448113,4.2578265,6.225163599999999,6.588086299999999,4.2502645,5.107844,5.199980099999999,5.0892818,3.4369327,4.0001882,5.1471773999999995,5.1018519,3.8288433,3.8542004999999997,3.5555263000000004,4.1325445,4.5751205,4.5255901,3.9383309999999994,3.9756237,4.3104528,4.370562399999999,3.2506316999999996,3.7582135,3.0082682000000003,2.9015882,3.2080832,3.7593853000000004,3.9784894,3.4384530999999994,3.4440692,3.1292309000000005,2.9196206,3.0655137000000003,3.1380999,3.2638860999999997,2.7913029000000003,2.5224615,2.0121529,2.7251299,2.6931991,2.2607302000000002,2.6225989,3.0849546000000005,3.4458649,3.038182,2.6656757,3.4647106,3.5551417,3.5134846000000004,3.124295,3.1962926,3.5391787,3.5654399,3.5460317000000003,3.5459249,3.163664,3.3067827000000003,3.8215016,3.6918995999999993,3.6350651,3.6118930999999996,4.1545349,4.172853999999999,3.7114804,4.203170300000001,4.664179,4.1776353,3.6367855999999996,3.623888000000001,4.6594524,5.6786876,5.9602492,4.533593300000001,4.3184748,5.2233487,6.0850026999999995,6.0523524,5.5590027,6.1682876
22		5.885127		13		5		5		2		2		6		3		0.3565395598485259		0.8666666666666667		2.4629262499999998,2.459009375,2.4720640000000005,2.4570167999999994,2.510586600000001,2.5881225,2.5297502999999995,2.6200872,2.6548303,2.7790916,2.8238586,2.9147572,3.0357807,3.153073,3.3205576,3.3526103999999997,3.3543464,3.2709683,3.2826418999999993,3.2319936999999994,3.3680965,3.4978380000000002,3.450784900000001,3.7414716000000006,4.088021599999999,4.2700137,4.3032262,4.477130600000001,4.7939459,4.784946700000001,4.1017488,4.4880557,4.4462183,4.4119208,4.9845600999999995,5.1547906,4.651728800000001,4.716935,4.878075,4.9464691,5.0468681,5.0185044,4.6783704,4.807047800000001,5.531145400000001,5.620666899999999,5.764971999999998,5.0235714,5.284719900000001,4.5842296000000005,3.9163222999999996,3.8826405,4.314352,4.5811493,3.7177923000000006,4.4893708000000005,4.129394400000001,2.7876218,2.0631551999999997,1.5327228000000002,3.0154589,3.5618962000000005,2.3204089,4.7763793,6.0537449,5.088935000000001,4.267064200000001,3.9499046,4.213804099999999,5.1989864,5.5065508,6.1504986,6.4698045,7.0109874,6.6391714,6.5864537,6.611656599999999,6.792253499999999,6.2846039000000005,6.800936500000001,6.5026885000000005,6.1624657,7.6443625,7.483163299999999,7.336716200000001,5.7614107,5.9844669,5.846182499999999,8.9188942,7.3209728,7.6630345,7.4332878,7.5661021,8.1947288,8.003304400000001,8.3143547,8.0910492,7.5186459,7.657636599999999,8.9914031
8		2.741455		14		5		5		3		4		5		2		0.5311118094860408		1.0		2.614316,2.610733125,2.6110073,2.6143109000000004,2.6151324000000002,2.6140016,2.6177905,2.6225657,2.6249207,2.6281428,2.6300700000000004,2.6280625,2.6296863000000004,2.6396497000000005,2.6424454,2.6399774000000003,2.6379971,2.6367092,2.6407722,2.6467196,2.6508121,2.6470079999999996,2.6401307,2.6388969,2.6485675000000004,2.6540553000000005,2.6546113,2.6527765000000003,2.6577914000000002,2.6572018999999996,2.6498779,2.6586027000000003,2.4342476,2.4353578,2.6586743000000004,2.6615679,2.6643502000000003,2.6684935000000003,2.6667775,2.671618,2.677609,2.6669826,2.6638881999999997,2.6687463,2.6713396,2.68006,2.6786261,2.5038180999999997,2.5059532,2.6830427,2.6846761,2.6904461,2.6855941999999997,2.685343,2.6859725,2.6868925000000004,2.6884771,2.6877237999999997,2.6838184,2.6862632,2.6873444,2.6852715,2.6868240000000005,2.6885272999999996,2.6916228,2.6937752,2.6910763,2.6818803000000004,2.6824933,2.6901618000000003,2.6928086999999996,2.6934215999999997,2.6920825,2.6923475,2.6906156,2.6893458000000003,2.6898706999999997,2.6876382,2.6964167,2.6970249999999996,2.692335,2.6942004,2.6942066000000002,2.6952535,2.6958,2.6969521999999997,2.6962073,2.6956640999999997,2.6955402,2.6978175,2.6989714,2.7007774,2.6977778,2.698437,2.699901,2.7031954,2.7056797,2.7056587,2.7053701,2.7147224999999997
12		2.661346		12		5		5		3		4		3		2		0.134876071694909		0.8571428571428571		-0.34578374999999995,-0.349558,-0.332911,-0.31199410000000005,-0.3124146,-0.3146223,-0.28780479999999997,-0.30731939999999996,-0.3115559,-0.2965941,0.15589790000000003,0.3477028000000001,0.44004570000000004,0.5022365000000001,0.5119355999999999,0.5586764000000001,0.5896899,0.6481513000000001,0.6994605,0.7549933,0.8838424,1.0166682999999999,1.1791753,1.3918909000000002,1.8425483,2.0816095,2.2931036,2.4241446,2.472525,2.4725078,2.4744152999999995,2.4742913,2.4738336,2.47392,2.4755045,2.4785758,2.4794232000000003,2.4787928,2.4781849000000005,2.4902618,2.4910316000000003,2.5030425,2.4902197,2.4795444,2.4935684,2.4813606000000004,2.4804665000000004,2.5043437,2.5054108999999998,2.5168394,2.5282801,2.555791,2.5447218,2.5303910000000003,2.5534062000000004,2.5694277999999997,2.5419013999999995,2.518339,2.5069616000000003,2.4964816,2.5459314,2.5188653000000003,2.5204113999999995,2.497348,2.5111444,2.5362311,2.5531591,2.4840565999999997,2.4963343,2.5116901999999994,2.5453742,2.5288079999999997,2.5441519999999995,2.495686,2.5267087999999998,2.5427417999999995,2.5567162,2.5405946,2.5115515000000004,2.5130372,2.5311226,2.5305554,2.5450257,2.5295028000000004,2.5137686999999995,2.55672,2.5607194000000004,2.5477961000000002,2.5312685000000004,2.5139847,2.5646391,2.5644227,2.5529769,2.5453728,2.5444874,2.533478100000001,2.5668388,2.5493739,2.5653449999999998,2.5601822000000007
