label		fitness		size		width		height		num_rigid		num_soft		num_h		num_v		elongation		eccentricity		reward
16		6.564019		25		5		5		0		0		13		12		0.0		1.0		-0.46634162500000004,-0.6358264,-0.14045809999999997,-0.1123578,-0.0579601,0.1658616,0.4269054,0.41966549999999997,0.6597092,0.9166185,1.058646,0.9612255,1.0928731,1.0815207999999998,1.0815317,1.1604498,1.2336141,1.1694677,1.3074423000000004,1.4667338,1.6753664000000001,1.6287021,1.8950736,1.8471103,1.950114,2.0676726,2.0814424999999996,2.1101509,2.1451997,2.1007184,2.1221007,2.1308276,2.1159679999999996,2.120588,2.1291317000000003,2.155173,2.1419460999999997,2.1619649,2.1834762000000003,2.3194124,2.3468723000000002,2.2301004,2.2684454,2.3184341,2.1840869,2.2580963,2.3736498,2.4300233999999996,2.7897831,2.6179151999999997,2.3554482,2.9212653,2.7085264000000002,3.233542,3.2508856,3.1438879,3.4269260000000004,3.3712158000000003,3.3458780000000004,3.2025062999999996,3.6804639000000003,3.6964205999999997,3.6996931999999996,3.4281706,3.5013055,3.5873182999999997,3.548559,3.3867969,3.4263047999999996,3.5663989000000003,3.700435699999999,3.7195601000000003,3.7447479,3.6998388999999996,3.7183444999999997,3.5183094999999995,3.7451353,3.6852432999999998,3.6225165999999995,3.6556235999999998,3.0858883999999995,3.4052977999999996,3.6248084000000005,3.3038588999999994,3.6439523,3.4367475999999995,3.3125728000000003,3.3165648000000005,3.4305925999999998,3.7362185999999995,3.643162600000001,3.3828774000000004,3.701634,3.5304500999999995,3.5504151999999998,3.2709347,3.4283352000000002,3.5384239,3.1688126,3.1450079000000004,6.564019
2		4.923258		13		3		5		0		0		6		7		0.4		1.0		0.533113,0.8160799999999998,0.8923428,1.0531243,1.1373731,1.2049935,1.2291646,1.3072721,1.4100902000000002,1.7215197,1.5619443999999998,1.8210230000000003,1.9916167999999999,2.0970231999999998,2.127347,2.1633786,2.1821291,2.1642375999999994,2.1696380000000004,2.2022072,2.2098265,2.1860188000000003,2.1983856999999998,2.2101549,2.2506242999999997,2.2887732,2.5043997,2.2524941,2.4214925000000003,2.5574534,2.7182554,3.0834122000000006,3.0670571,3.295351,3.3097198,3.4142387999999997,3.4437963,3.5282186,3.6202064,3.5505378,3.4868824,3.5680040999999996,3.6510400999999995,3.563387099999999,3.6581851,3.632486599999999,3.6515892,3.6853828999999996,3.6873761000000003,3.7368606,3.6791655,3.6944711,3.7190354999999995,3.7016426999999994,3.6317292,3.6504999000000007,3.663111,3.7182684000000004,3.6670374999999993,3.6752533,3.6489663000000006,3.6551365000000002,3.6491409999999993,3.6809156,3.6354850000000005,3.5200818,3.6490569,3.7545373000000004,3.5943458999999995,3.7037397,3.7398709000000006,3.7937332000000006,3.7243473000000002,3.7961579,3.7278706000000006,3.6692341999999996,3.7744579000000003,3.7935254,3.7451665,3.8012408,3.7328213,3.6877024999999994,3.6766908999999997,3.6324036,3.7253014,3.7058699999999996,3.7198602000000003,3.6508288999999996,3.7151891,3.7520765,3.7585625,3.7780267000000003,3.8959993000000006,3.8918133,3.8459124000000005,3.9628791,3.8486266999999996,3.7950893,3.884676,4.133427800000001,4.923258
3		4.0419		13		3		5		0		0		4		9		0.4		1.0		0.547016,0.7382816,0.9164450000000001,1.0214674000000001,1.1012067,1.1513257000000001,1.2837286999999997,1.3057728,1.3674496,1.4884818,1.5477435,1.5634140000000003,1.7145968,1.8291589,1.9224570999999997,1.9733407,1.9864799000000002,2.0929740000000003,2.0849545000000003,2.1634021,2.1822251,2.2057125999999996,2.2087806,2.2304595,2.2770242,2.262773,2.3419412,2.3720822,2.3312958999999998,2.2997462000000004,2.3598057999999997,2.6031731999999996,2.6565776,2.7927045,2.7092469,2.9065911,2.9268519,2.8613015,2.9119222000000002,3.1230569,3.0805360999999998,3.1046503000000003,3.0376679,3.1736998,3.3790321999999997,3.3416952,3.4696918000000005,3.4250912999999996,3.4846823999999996,3.4656127000000003,3.4814099,3.6762141,3.6174482999999995,3.6625957999999996,3.5944661999999994,3.6488830000000005,3.6840725999999995,3.6566143999999996,3.7006911000000002,3.7033308,3.7105202,3.6841555999999995,3.7031258,3.7391564,3.7151665,3.7175322,3.7093455,3.7448565,3.7929862000000005,3.7736023000000003,3.7811828,3.7973643000000004,3.7503960999999997,3.7521775999999996,3.723095,3.774603,3.7393948999999997,3.7378223,3.695963699999999,3.7791444999999997,3.7626853999999996,3.7643873999999995,3.7474195999999993,3.7690042000000004,3.7761401999999995,3.7752600000000003,3.7956180999999996,3.7657245,3.7807382000000005,3.7657708000000008,3.7481959000000002,3.7659222999999997,3.7392899,3.7656412999999995,3.7871729000000003,3.7623564000000003,3.7572842,3.791733,3.8044005,3.7941409,4.0419
19		3.99921		20		5		5		0		0		15		5		0.21244472379441626		1.0		0.05505925,0.3426333,0.24288760000000004,0.5469618,0.7816622,0.9016324999999998,0.9688972999999999,1.1384304000000003,1.1554496,1.1371242,1.1675606,1.1917726,1.1742130000000002,1.1705320999999997,1.1866258,1.2055814,1.2112855999999999,1.2221546,1.3084413,1.2868391000000001,1.4784677,1.3417822000000001,1.4553192999999998,1.6045455,1.8632727000000002,1.8475951,1.8729544000000005,1.6784832,1.9193701,2.0732958999999997,2.1529738,2.1402095,2.2290572,2.2225687,2.2525551999999998,2.2451399,2.2801498999999996,2.2704490999999996,2.3361541,2.3277145,2.3458239,2.3948842999999997,2.3351917,2.3902881999999996,2.3808208,2.4307319,2.4266344,2.4511479,2.4317371,2.568137,2.4642794999999995,2.6845675,2.7522969,2.5038235,2.7495722000000002,2.7631411,2.6804479,2.6876004,2.9080455,2.832275,3.1441063,3.0964488,2.9711012,2.9920749,3.1428056,3.4186527999999994,3.3686178,3.3321346999999997,3.2516776999999997,3.1529039000000005,3.3511683,3.2486612999999998,3.4863601,3.4156490000000006,3.3987116,3.5318604999999996,3.3840911,3.5953121,3.4860835000000003,3.4806593,3.4924166999999997,3.3918572999999994,3.5237273,3.4654063,3.4167248999999997,3.5274367999999994,3.4035175000000004,3.5676842,3.4394888999999997,3.7287190000000003,3.6885473999999996,3.6841473999999996,3.6156220999999995,3.7806295,3.7734235000000007,3.809318400000001,3.8050073000000006,3.8037377000000006,3.8133322000000005,3.8216224,3.99921
17		3.932032		14		5		4		0		0		14		0		0.23769303989901724		1.0		-0.11921875,-0.0815382,-0.0717066,0.014907399999999998,0.0354014,0.14964,0.1917185,0.1965117,0.1458097,0.3120355,0.7752302,0.5891612,0.8229725,0.524173,0.9523832999999999,1.1017877999999999,1.1134830999999998,0.8877923000000001,1.0287488,1.1978277,1.1852890999999999,1.1983715999999998,1.2597726,1.2449127,1.2468476000000002,1.2426291,1.2535233,1.2739434,1.2884303,1.3130662,1.3085445,1.2868184,1.2977884999999998,1.2751139999999999,1.2483317,1.2830192,1.2910964999999999,1.276375,1.3373913000000002,1.3811016,1.4508318999999998,1.5002166,1.5906713,1.6574932999999998,1.8265373999999999,1.7586846999999999,1.6443518000000001,2.0382048999999998,1.9765100999999998,2.2012828000000004,2.1938304000000004,2.1353092,2.2743513,2.1915342,2.242197,2.2492750999999997,2.263812,2.2789705,2.2953094999999997,2.2808724000000002,2.2357786,2.1603478,2.2800418999999996,2.2823153,2.2875015999999997,2.3145353,2.3395693,2.3724192,2.3555348,2.3907891999999995,2.3703779000000003,2.4160001000000006,2.5042736999999997,2.4366092000000004,2.4149533,2.4861092,2.4869448,2.4400174,2.5268878,2.7360920999999996,2.8011397,2.5618978,2.6424730999999997,2.7252057,2.7453825000000003,2.965874,2.866002,3.106069,3.3232851999999995,3.4462696,3.2675634000000002,3.3020226,3.5232664,3.4263701000000006,3.4068021,3.3149795000000006,3.4781221,3.5232086000000002,3.5130965999999995,3.371864,3.932032
10		3.829592		25		5		5		3		0		16		6		0.0		1.0		-0.1277055,-0.10221450000000001,-0.09959739999999999,-0.0340301,-0.027764700000000003,0.11442409999999999,0.2330357,0.48379140000000004,0.6066094000000001,0.8193052,0.8143508,1.067959,1.0700825000000003,1.0461624999999999,1.1601878,1.1044135000000002,1.2003534000000002,1.2290736,1.2488024,1.2290425999999999,1.2973644,1.2991314,1.3410753,1.3832613999999999,1.4527237999999998,1.4358007,1.3504593,1.3768144999999998,1.4215721000000001,1.3768348000000001,1.4238722,1.7329827000000002,1.8677775,1.7860828000000002,1.8668827000000003,1.9326352999999998,1.8765154000000002,2.0104659,2.0138369000000003,1.9771795000000005,2.0565883,2.1315739999999996,2.1031295,2.1478896,2.1456445,2.0445395,2.0534181,2.1569857999999997,2.1811403999999994,2.1833918,2.1660806,2.1981527,2.1993099000000003,2.1611882000000002,2.1800843,2.2064337000000003,2.2155008,2.2047735,2.2032305,2.1961829,2.1885607000000005,2.1940108,2.2233572,2.2339583,2.2229734,2.2373705,2.2895923,2.2177555,2.2229483,2.3117376000000003,2.4056655,2.6837628999999996,2.5915813,2.3966988000000002,2.8161563999999997,2.9994728,2.8966894000000005,2.6923757999999998,3.1434737999999998,3.4285057,3.2326024,3.2311414,3.1247149999999997,3.6242789,3.4667948,3.6412687999999998,3.5398498000000003,3.1508927,3.53722,3.2614381999999997,3.5179859999999996,3.6011263,3.6508976000000004,3.4635327000000005,3.648417,3.5152143000000002,3.5402611,3.3638746,3.5072139,3.673148,3.829592
14		3.777663		25		5		5		1		3		6		15		0.0		1.0		0.14282675,0.31077829999999995,0.5362736,0.7097254,0.7218913,0.6156891,0.5942479,0.8797403000000001,1.0317516000000002,1.097079,1.0486470999999997,1.0700804,1.0392363,1.1505712,1.0258433,1.1960815,1.1436274000000002,1.3090216,1.3748055000000001,1.4744904,1.438484,1.4780427,1.4079822,1.3861727,1.8938841,1.9229493999999998,1.8762534,1.8195153999999998,2.0500676,2.1132163,2.0123260000000003,2.0837448999999997,2.1061175999999997,2.141414,1.9792577000000002,2.1204362999999997,2.1111935,2.1610098,2.0986408,2.0312299000000005,2.191341,2.2100172000000002,2.2183458,2.1659578,2.2670619000000003,2.1862444,2.1529350000000003,1.6845488,2.0431348,2.2330226,2.246784,2.2069102000000003,2.1949129,2.2398172,2.2396684000000002,2.3328453,2.2734584,2.1365032999999998,2.2279474,2.4124661,2.3604345,2.2703128,2.3805726,2.40036,2.4278107,2.4725977,2.3201847,2.6928276999999996,2.413166,2.7769227,2.4191178,2.2491519,2.4176116999999997,2.6682788,2.6986685,2.5515406,2.5273737000000005,2.6055673,2.5437008,2.6530893,2.7636429999999996,2.7519306000000006,2.7369412,2.6847157000000004,2.8457888999999996,3.0430064999999997,3.2860329,3.1753489,3.2440243000000004,3.3024511000000003,2.9421971,3.0661594,3.2899213000000005,3.2302524,3.1330404999999995,3.3281968999999996,3.1132075,3.162242,2.8522018,3.1902093000000002,3.777663
1		3.660431		14		3		5		0		0		8		6		0.4		0.9333333333333333		0.04755187500000001,0.1440712,0.1567927,0.3737342,0.7001814,0.8713600000000001,1.1475938,1.1472211,1.1776624,1.1753647999999999,1.422304,1.6114448,1.5909727999999999,1.8135113,1.6891912000000002,1.9832196999999998,1.8440487,2.0151564,2.0193649,1.9459654000000004,1.9713593999999997,1.9380577000000003,1.9502544,2.0842461000000005,2.1133857000000003,2.0743542,2.1152122,2.1001921,2.1401306,2.116464,2.1332597,2.1342182000000003,2.1219221999999998,2.1381354000000004,2.1186348,2.1671500000000004,2.1564936,2.1357886,2.1569274000000003,2.1453492,2.1488745000000002,2.1352421,2.1775769000000005,2.169016,2.1769453,2.1564427000000004,2.2122986,2.1776161000000003,2.183439,2.2312569,2.4800224,2.3020025,2.3159860999999995,2.3881123000000004,2.3286569,2.5093056999999996,2.6195133999999998,2.6988380999999997,2.6615691999999997,2.7534291,2.9159372,2.9007198999999995,3.2758594000000003,3.1768026,3.0432700999999995,3.0274172,3.2024431,3.0586622,3.1472724,3.2133176,3.2407446999999996,3.108443,3.2119884,2.9730743,3.1697111,3.5153066,3.1521511,3.2104260000000004,3.1671022,3.3916942999999997,3.4507672,3.3355509999999997,3.3347957999999998,3.3374478999999995,3.3714348999999997,3.3249616000000004,3.3178209,3.1763854999999994,3.4740191000000005,3.5035090999999996,3.3271982,3.4848312999999997,3.4444466999999994,3.3584553,3.5458846,3.4614219999999998,3.3171582,3.3607915,3.3718695000000003,3.2903225999999997,3.660431
11		3.506761		25		5		5		0		0		12		13		0.0		1.0		-0.45422112499999995,-0.1918365,-0.30107359999999994,-0.28159280000000003,0.0279535,0.10902180000000002,0.14326859999999997,0.34456120000000007,0.6985153,0.4954915999999999,0.9885499,0.9075361,1.0254838999999998,1.1061841000000001,1.1775845,1.1572011999999998,1.1109238000000001,1.3066495000000002,1.1612635,1.2585169999999999,1.5688876999999999,1.4711826,1.7139608,1.5746266,1.5453940999999998,1.4370032,1.5826324,1.6655894,1.5526619,1.5313605,1.6330708999999999,1.4811315999999999,1.5012431000000002,1.96145,1.8295090999999999,1.6782141999999998,1.856409,1.8287585000000004,2.0265374,1.9916478999999998,2.081356,1.8952266000000002,2.088276,2.0822667,2.0642630000000004,2.0171480999999996,2.0860592,1.9590125999999999,1.8961161999999998,1.8436198999999998,2.0659139,1.9601520000000001,2.0584733,2.1118786000000003,1.9489002000000002,1.9907002999999999,2.1501649,1.9667021999999998,2.1308175,2.0113896999999996,1.9851175,2.1351761,1.9192387,2.1227252,2.1262533,2.0415711,2.1216117,2.1526651,2.1704969000000003,2.0146084,2.0922856,1.9876533000000003,2.1367598,2.1618193999999997,2.2257446,2.2085623,2.1700879,2.1988328,2.1934364000000004,1.7965199000000003,1.9326762,2.2360584999999995,2.0944101999999996,2.0011885,2.2190345000000002,2.2894695999999994,2.1221299,2.1054662,2.3505382,2.0189216,2.2842734,2.4001355,2.0834278,2.1127531999999998,2.051079,2.1727681,2.1642656000000002,1.9820361999999996,2.119373,1.9045394000000002,3.506761
0		3.323773		10		2		5		0		0		3		7		0.6		1.0		0.258168375,0.2964518,0.49713700000000005,0.5496755,0.7510551000000001,0.7637184,0.9232194,0.9121107,0.9478126999999998,1.0714974000000002,0.9751263000000001,1.1217661,1.3460714,1.1087893000000002,1.270706,1.1130712,1.232616,1.3522319,1.378094,1.4209954,1.5136948999999997,1.6235648,1.4434201999999998,1.5758953000000002,1.6198293,1.7615126999999997,1.7998332000000001,1.8740963000000002,1.8196739000000002,1.8305354,1.9735586,1.9180635000000001,1.9892638999999999,2.0569183,2.1012557000000003,2.0035176,2.0407447,1.9820494,2.0745695999999993,2.0852229999999996,2.1873649,2.2088993999999995,2.1900621,2.3007543999999998,2.311461,2.3081009,2.2569136,2.3786814,2.3265201,2.2573721000000004,2.2882805,2.3628985,2.4153825999999996,2.3540184,2.3894366000000002,2.3904267,2.5411723999999998,2.4153965,2.4935956,2.5761940999999995,2.575012,2.5717452,2.5450317,2.6871479,2.8299444,2.7853393,2.8123669,2.7597268,2.7418272999999997,2.4854393000000004,2.8013234000000002,2.8745234999999996,2.8909272,2.8946864,2.8695579999999996,3.0164481000000003,2.9807781,2.981331,3.0089574000000003,2.9340374000000002,2.9942358000000002,3.0409986000000004,3.0254955,3.0188233,3.0436856999999997,3.1106616999999996,2.9675872000000005,3.0754003,3.0597374000000004,3.1019205,2.8790991,3.0693282,3.1103056,3.0613871,3.0133793,3.0759030000000003,3.0301823,2.9868085,3.0231293,3.2235336000000006,3.323773
