label		fitness		size		width		height		num_rigid		num_soft		num_h		num_v		elongation		eccentricity		reward
14		3.338697		6		2		5		0		0		3		3		0.6		1.0		-7.53486875,-6.688402625,-5.8780748,-4.9300011,-4.1371278,-3.6873637,-2.941693,-2.4503590999999996,-2.0525103999999996,-1.3294818999999998,-0.48034489999999996,-0.3864902,-0.36730300000000005,-0.18662459999999997,-0.1045904,-0.02341909999999999,0.11748460000000001,0.49323930000000005,0.6364314,0.8720651,1.3577727999999998,1.5051728999999998,1.5598456000000003,1.6208227000000002,1.8436007000000003,1.8732457,1.9747712,2.0249809,2.1431483,2.1521869,2.1762642,2.3817234,2.3990569,2.427386,2.4698648,2.5497918,2.6174248,2.6023035,2.4903462999999997,2.2216563000000003,2.2845451,2.3594733000000003,2.5214406000000005,2.5375614,2.5659298,2.7931786,2.7657856,2.6186230000000004,2.712409,2.8755616,2.9021440000000003,2.9344915,2.8628024,2.8148714999999997,2.8257694,2.9232471999999996,2.9164406,3.0540107,2.9198805,2.9003189000000003,3.1454546,3.0094252999999997,2.8133629,3.0147921,3.0757074,2.9801736,2.9697094,3.0637458,3.0682041,3.0637285000000003,3.1968974,3.239171,3.0320361,3.0185351999999996,3.134447,3.1707487999999997,3.166712,2.9926211,3.0126142,3.1282429,3.1426923,3.1336442,3.2389349999999992,3.1940519,3.1282257,2.956286,2.9790768,3.0422535,3.1131336,3.0450587,2.9656809999999996,2.9629705,2.991718,2.995134,3.0346618,3.0689152,2.9771121999999997,2.8407077999999997,2.7977286,2.9544216,3.338697
16		3.337469		5		1		5		0		0		4		1		0.8		1.0		0.47215725000000003,0.700872,1.0004586999999998,1.7969496,2.0751776000000004,2.5228115000000004,2.9793405,2.5816622999999996,2.4922926,2.3230265,2.8341227000000004,2.6637812999999997,2.5567985999999996,2.2259292000000004,1.953454,1.7724204000000001,1.8373038000000002,1.7757224,1.7358042999999999,1.5310313,1.2786697999999999,1.3022823,1.2258179,1.3374362999999998,1.4039304,1.3861385000000002,1.3234655,1.2878026999999999,1.0196296000000002,0.8658438,0.9308685999999999,1.1043682,0.9750318999999997,0.8623759,0.9946593,1.1365567000000003,1.0364097,1.4511662,1.5663384,1.2667188999999999,1.3142277,1.2262674000000002,1.4375453999999999,1.4481103000000002,1.338378,1.321634,1.3771206999999999,1.2170303999999998,1.2357396,0.9202239000000001,0.8520534,1.0815074,1.085021,0.9288859,0.9561911000000001,0.8564472999999999,0.8292394999999999,0.7873448,0.7682845,0.9543969000000001,0.9363669,0.8424596000000001,0.8727432,1.010232,0.9289891000000001,1.0837287,1.1375717,1.1888168000000001,1.3198108000000002,1.2826875,1.3558318999999999,1.5831282999999998,1.7471109000000002,1.6683149,1.5165317999999999,1.6474281999999998,1.6993827,1.7184848,1.4791658,1.5036336000000001,1.4843992,2.0763531,2.0872000999999996,1.6344476000000001,1.7840035,1.8854076,1.9475666,2.4085411,2.3385142,2.4930697000000004,2.0497345000000005,2.1724475,2.9345226,2.8933134999999996,3.024349,3.1447588,3.0359945,3.0803179000000003,3.2293053,3.1352935,3.337469
15		3.306262		5		1		5		0		3		2		0		0.8		1.0		0.570675,0.694877375,0.8462447999999998,0.9915023999999999,1.0879477000000002,1.2211391999999999,1.8254000000000001,2.0752901,2.2267639,2.2929808,2.5341294000000003,2.599641,2.16252,2.3128494,2.9514395,2.9947033000000003,2.9170685999999995,2.9459355,3.0190013,3.099542,3.1865242,3.163655,3.1583585,3.1623815,3.1559470000000003,3.2364261,3.2214227,3.1592726,3.1677486999999998,3.1635406,2.6167932,2.5939857,3.1986492,3.2419636000000005,3.2685735,3.1748095,2.5327359,2.5509955,3.2010234000000004,3.2037366,2.5306063,2.5878874,2.5848771000000004,2.5232202000000004,2.4932364,3.1259983,3.1209798,3.1844032,3.1810406,3.1866178999999994,3.1885304999999997,3.1679443000000003,3.116263,3.0982687,3.0982594000000003,3.0941292000000002,3.1574166,3.0584213,3.0605693,3.070764,2.9988174000000005,3.0753935,3.0641827,3.0558930999999996,3.0593065000000004,3.0665545,3.1065379,3.0616971,3.0838397,3.0662472000000003,2.9581086,2.9870758,3.0165566999999998,3.0065275999999996,3.0073201000000003,3.0008962,2.9211068,2.9985726,3.0419664000000006,2.9700261000000006,2.9743411,2.9754625,2.9777268,3.0357498,3.0037594,3.0068603,3.0116495,2.9235895000000003,2.9281143,3.0261366,2.9385167,2.9009249000000006,2.8835874,2.8806106,2.9118262,2.8815015,2.8911021999999997,2.8753196,2.9461808999999994,2.8805185,3.306262
3		3.276694		10		2		5		3		0		7		0		0.6		1.0		0.319759,0.15306425,0.3505256,2.510325,2.5530245999999996,2.1929294999999995,1.3333325,1.0290029,0.7123138,0.6447744,0.9046327999999999,0.8455883999999999,0.6906633,0.4917160000000001,0.35958570000000006,0.5489376,0.9078849,1.0509317999999999,1.1167425,1.0135757,1.0171271000000002,1.1386214000000001,1.2178958999999998,1.1249011000000002,1.0752825,1.1079082,1.4061369,1.4957999000000002,1.7888058,1.8726391000000002,1.9783921,2.0169435,1.6938641,1.6210151,1.6245786,1.7100600999999997,1.7601106999999998,2.0091323,2.0422628,1.8699388,1.7386510999999998,1.6641766,1.8860634,2.0821069000000003,2.2022993000000004,2.212041,2.1973266,2.2120176999999996,2.1379105999999997,2.6627973000000003,2.7044311999999997,2.6268000000000002,2.6854451,2.6140546999999996,2.6296492000000002,2.6460665000000003,2.9650657,2.9178511,2.7889708,2.7649282,2.911492,3.0106053,3.0871473,2.9736374000000003,2.9631216,3.0463145000000003,3.1189354999999996,2.9793376,3.027076,2.9728196000000002,3.0444182,3.0353397,2.9925764,2.9878069999999997,3.0293284000000003,3.0674668,3.0733865999999996,3.06989,3.0811747,3.1715622000000003,3.2120477000000003,3.1892275000000003,3.2088520000000003,3.1434662,3.1057467,3.192011,3.1917522000000003,3.1425992999999997,3.1140703000000003,3.1113156,3.1745583,3.2140019000000004,3.1974955,3.2018730000000004,3.1896289,3.0908286,3.1110706,3.1486788,3.2335666000000005,3.163673,3.276694
20		3.274299		5		2		3		0		0		5		0		0.33333333333333337		1.0		-0.7191995,-0.7384357500000001,-0.8304116,-0.7830196,-0.9338276000000001,-0.5363724999999999,-0.7381840000000001,-0.8304497,-0.4538314,-0.276146,0.2890367,0.26797420000000005,0.7192114000000001,0.966409,0.7639998,0.9535920000000001,1.5430783000000001,1.8358196,2.0225009999999997,2.132429,2.6875202000000002,2.9229091,3.0840348000000004,3.1406451,3.0336162999999994,2.9626151,2.5409691,2.3984793000000004,2.5983131,2.3090595,2.2130099000000003,2.261489,2.3267839,1.8191928000000004,1.8924587,1.9007045999999999,1.8670707999999998,1.7703685,1.7010881999999998,1.6979975,1.7009504,1.562198,1.5876597000000001,1.6147067,1.7605867,1.755493,1.60106,1.5857175,1.4994793,1.3889960999999997,1.4418022000000001,1.484148,1.5512933000000002,1.4880387,1.4770473,1.3771341,1.5132488,1.5219392999999999,1.4229207000000001,1.3621365,1.2767528000000001,1.3129504,1.5368963,1.5804071999999998,1.2125255,1.2371272999999998,1.1722839999999999,1.3311686000000003,1.3909653,1.2266981,1.1752477,0.8642600999999999,0.9302856,0.9899277,0.9393682,0.9062882,0.9935724,1.0897438,1.0161080000000002,1.0967841999999999,1.1647066000000001,1.2428130999999998,1.2866645,1.3769494999999998,1.4057910000000002,1.2703865,1.4901597,1.5882175,1.5205981999999998,1.4600813000000001,1.7180779000000002,1.5930948,1.9238197,1.3839549000000002,0.8693761999999999,1.6714790999999998,1.7425217,1.4400052999999997,1.5826314,1.8307384,3.274299
7		3.269641		15		3		5		11		0		4		0		0.4		1.0		-0.08392175,-0.06827775,-0.0329098,0.1253241,0.23339190000000004,0.3150853,0.4839404,0.5524635,0.6518123000000001,0.7831406000000001,1.1272895000000003,1.3099159999999999,1.4789305,1.7301069999999998,1.8704478000000002,2.0089563,2.1029622,2.3113474,2.3685715000000003,2.4323144,2.5181424,2.5417532,2.5714474999999997,2.5810722000000004,2.6207214,2.640263,2.6582266,2.6835967,2.6566551000000005,2.6538197000000006,2.6806634000000003,2.6981014,2.7072654,2.7237608999999994,2.7327442,2.7510216,2.7599750999999997,2.7625631,2.7901119,2.7979226,2.8022074000000003,2.816692,2.841296,2.8518941,2.8474293,2.8524919000000004,2.8539918,2.8488976,2.8515986,2.8569366,2.8543257,2.8542440000000004,2.8595449,2.864598,2.8660017000000004,2.8714564000000005,2.8784403000000003,2.875608,2.8835547000000004,2.9035678999999996,2.9464080000000004,2.9616258,2.9671975999999995,3.0324501,3.0632300999999997,3.1027794,3.1237272000000003,3.1266085,3.1452082,3.1506057000000003,3.2129056000000005,3.2221561999999997,3.2261068,3.2050881,3.2494710999999996,3.2711742,3.2709263,3.2507305000000004,3.2568213,3.2393403999999997,3.249391,3.2368504000000002,3.2533861,3.2519304,3.2639673,3.2177099,3.2030179,3.2065868,3.2350885,3.2002431000000002,3.1905680999999997,3.1722501000000003,3.1374126,3.1476319999999998,3.1916214,3.2346333,3.2103014,3.1535881000000003,3.1696605,3.1919091,3.269641
12		2.975549		7		2		5		0		3		0		4		0.6		1.0		1.265465,1.3035018750000003,1.4075061999999998,1.9895121,2.2852691,2.4619745,2.8193314000000003,2.9943075,3.1538861000000002,3.2199117,3.2101254999999993,3.2589031,3.2559523999999995,3.1488745,3.1369162,3.1224736,3.0994886000000004,3.0161462,2.9349734,2.8009524000000003,2.7320251000000004,2.8038918000000006,2.8004632000000003,2.7194014999999996,2.6318696,2.5735371000000002,2.5224989,2.490232,2.5613287,2.5932076,2.4741643,2.3578291,2.391162799999999,2.4608617,2.5026269,2.4803418,2.4547499000000004,2.3985764,2.4290548,2.3746215,2.3547367,2.3605351,2.4249590999999997,2.3225700999999996,2.3125384999999996,2.2922567000000003,2.2430465,2.2131118,2.1844449,2.1916625000000005,2.1177325000000002,2.0028557000000005,1.9869966,2.1042842000000004,2.1120723999999997,2.0673715,1.8656734,1.822655,1.8133053000000001,1.8391918999999999,1.7514134000000001,1.7377519000000003,1.746311,1.643985,1.7046013000000002,1.7958939999999999,1.7783415999999999,1.7232746000000003,1.6564363999999998,1.7570986999999998,1.8565350999999999,1.7680097999999997,1.714267,1.7582984,1.7754675,1.8033733,1.7592243,1.7262857,1.6784513999999997,1.7699026999999998,1.8553079000000001,1.7275586,1.6426186999999999,1.7670182,1.6789583000000001,1.6804812000000002,1.7326933999999998,1.7757849999999997,1.8528308,1.9021193,1.8566220999999998,1.8059728,1.8732759,1.8368962,1.8059836999999999,1.8033703000000003,1.9635511,2.0946399,2.2189671,2.3854540999999996,2.975549
0		2.761356		8		5		2		0		0		8		0		0.6		1.0		-0.18727524999999998,-0.17552425,-0.1739527,-0.16373490000000002,-0.1617839,-0.1677022,-0.0698617,0.03513229999999999,0.1408899,0.20851229999999998,0.4926444,0.6662707,0.7926193,1.0041554000000001,1.1095566000000001,1.2363151,1.3737818000000002,1.4886663,1.6447586,1.7156869000000001,1.8069408,1.8769133999999998,1.9760154,2.069752,2.1850628,2.2501586999999996,2.2310907,2.314508,2.516754,2.5781088,2.6252433,2.718571,2.7111150000000004,2.7098757,2.7170441,2.6994288,2.7045494999999997,2.7052784,2.7163117999999997,2.7099605,2.7065333,2.7159674,2.7244453,2.7242099000000004,2.7238817,2.7005306999999994,2.6968112,2.7019205,2.7225546,2.7216559,2.7232941999999998,2.7229284,2.7248208000000003,2.7263757,2.7312236,2.7295075,2.732343,2.7269772,2.7225166,2.7290518,2.7373686,2.7343094,2.7343272,2.7400198,2.7416514,2.7430836999999997,2.7471691,2.7415982,2.7408768,2.7420377,2.7407782,2.7416343999999997,2.7422584,2.7371859,2.7319641,2.7309745,2.7388562,2.7394637,2.7431288,2.7452637,2.7466782000000003,2.7450315,2.7469037,2.7453701,2.7472381,2.7487039,2.7466377,2.7483442,2.7509573,2.7468444,2.7429977999999995,2.7437904000000004,2.7470574999999995,2.7500927,2.7489055999999996,2.7421241000000003,2.7388253,2.736831,2.7421282999999996,2.7497292999999994,2.761356
10		2.685752		13		3		5		0		0		0		13		0.4		1.0		-0.8058475,-0.658775875,-0.5379278,-0.2762101,-0.011701500000000009,0.5364334000000001,1.3063770000000001,1.7554146,1.6104904999999998,1.9239664,2.2061710999999997,2.2579635,2.3084605000000002,2.3426432999999998,2.3170447,2.0481664,2.0348254,2.3103933999999997,2.3097156,2.3311699,2.3195460999999997,2.3138636,2.3382110000000003,2.3557168,2.4033025999999995,2.3827204,2.3409248000000002,2.3583165,2.3257763000000002,2.3285419000000003,2.3821141999999997,2.4104464,2.3825050000000005,2.4119260000000002,2.4629674,2.4013237,2.4386674,2.4499711,2.439242,2.4397441000000004,2.4636277,2.5323504,2.4920231999999998,2.4608474,2.4889696999999997,2.5530586,2.5258772,2.4807930999999996,2.5475950000000003,2.5814118,2.5550094000000003,2.5685168999999997,2.5326801,2.4808006000000002,2.4482719000000004,2.5081315,2.5242785,2.4902436999999997,2.4874769,2.5205037,2.495451,2.4701434,2.4329089999999995,2.5267666999999996,2.5151089000000004,2.4869045,2.5549734,2.5060691,2.4813856999999997,2.5077311,2.5949891000000003,2.5661446,2.5469133,2.5532418999999997,2.5323998,2.5547947000000004,2.5825999000000004,2.5815816000000007,2.5519355999999997,2.5274794,2.5564764999999996,2.6078941,2.5860999999999996,2.5892127,2.5385958000000004,2.5469963,2.5769157,2.5782796000000006,2.5595333,2.6091434999999996,2.6508453,2.6631276,2.6837851,2.7103253,2.819484,2.7064681,2.6897225000000002,2.8350247,2.8919217,2.8807086,2.685752
13		2.681352		5		1		5		1		0		2		2		0.8		1.0		-2.217361,-2.2730291250000003,-2.2864286000000003,-2.1611259,-1.4958364,-1.2951764,-0.5086983,-0.34304860000000004,0.3208368,0.8541857999999998,0.9018486999999998,1.7502311,2.0331637000000002,1.9219611999999997,1.9525654,2.4387543999999997,2.2313769999999997,1.9415855,1.7981076000000003,1.7420575,2.2112375999999996,2.0381156999999996,2.0468878999999998,1.9630257,1.8149911999999997,1.7898887,1.8990794999999998,1.5067739999999996,1.2328492000000002,1.6941391,1.8693664,1.6611527000000001,1.9124930000000002,2.1096258000000003,2.1358475,2.2098538,2.1069023000000002,2.1736982,2.2360686000000003,2.3280441,2.4790027,2.4834813000000002,2.2624885,2.3893214,2.2902794,2.2786079,2.6674475,2.7508388,2.5982068999999997,2.4112862,2.4717594000000003,2.3789358000000003,2.2674478999999996,2.2891093000000002,2.3712503,2.1604333000000002,2.2021261,2.3576902,2.4797015,2.6562327999999997,2.7981743000000003,2.7631278999999997,2.5462293,2.6002764000000003,2.75873,2.7045589,2.7505975,2.9059791,2.9373581,2.8954558,2.8832448000000004,2.9821779999999998,2.8283389999999997,2.8129256000000002,3.0344936000000002,2.9880762999999995,2.983002,2.925176,2.9033279999999997,2.982814,3.0147444,3.0180251,3.0079133,2.9702406,2.9666189,2.9614715,3.0915076000000004,3.1195608,2.9507691,2.9631923,2.9815747,3.0462388999999996,3.0254401,3.0292278,3.04846,3.0630294,3.0425017000000003,3.0183216,2.8975093000000003,2.820913,2.681352
