label		fitness		size		width		height		num_rigid		num_soft		num_h		num_v		elongation		eccentricity		reward
3		3.410217		9		5		2		0		0		0		9		0.6		0.9		0.4858012500000001,0.478083625,0.5126063999999999,1.1659909000000002,1.4344333,1.7239083000000002,2.7484121,3.0407773,2.9556918,2.5289161,1.2856444999999999,0.7842667,0.38802419999999993,-0.0328015,0.0048829000000000025,0.2115996,0.38990840000000004,0.414894,0.5351448000000001,0.6036284000000001,1.2414882000000003,1.4640491999999998,1.1997303000000001,1.3777265,1.7150737,1.9298739,2.0653387000000003,2.2085748999999995,2.3849841,2.1233303999999995,1.9511436999999998,1.9914492,2.2602339999999996,2.3850737000000004,1.9834175000000003,2.1402413,2.6533979000000003,2.7986366,3.0101069000000003,3.1108640000000003,2.9206224999999995,2.9667253,3.1028948,3.1062275,3.1250037,3.1256771,3.2165775000000005,3.1819267,3.2279300999999996,3.1470018,3.1537698,3.0484189999999995,3.1093943,3.240551,3.3061296,3.2636611,3.2972301,3.3160674,3.3367613000000005,3.2680715,3.2633919999999996,3.2498786,3.2642722999999996,3.3483674999999997,3.3087753999999996,3.2603706000000003,3.2702337,3.3273199,3.3587891,3.3930903999999997,3.4267025,3.4047720000000004,3.3481071,3.3919635999999995,3.4438237000000003,3.3895456000000004,3.3546084,3.3271149,3.4067203999999998,3.3674264000000003,3.3482231,3.3665296999999996,3.3958959999999996,3.3571568999999997,3.3610029999999993,3.3699356000000003,3.3566563,3.3675362,3.3721525,3.3658738,3.4097425,3.3934859000000004,3.4112025000000004,3.4287388,3.4119221000000004,3.4231315,3.4287041,3.4406394,3.4469867,3.4388097,3.410217
5		3.373077		7		5		2		0		0		2		5		0.6		1.0		-0.058266,-0.12297787500000001,-0.10942700000000002,0.08317069999999997,0.24995859999999998,0.4391389,0.4889081999999999,0.2773928,0.47868320000000003,0.5749172,0.5120832,0.3980035,0.7669171,1.5854127,1.2478217,1.1292575,0.602498,1.3493544,1.7788119999999998,2.0155538,1.5459261000000002,1.9046195999999997,2.1736319,2.6461402,2.7140761,2.4678001000000003,2.2636879999999997,2.2435224,1.8412075,2.0047512000000003,1.9765103,1.1364215000000002,1.2589397999999998,1.5183513999999998,1.5085655,1.2708341,1.2087806000000003,1.4787701999999998,1.9099283999999996,1.7908864000000002,1.5867108,1.4855278999999997,1.7921796,2.0288632000000004,2.1247163000000002,2.1707218,2.3922589000000007,2.1250193,2.1637285,2.3863087,2.4609102000000003,2.5262141,2.3904166,2.3357171,2.6727071999999996,2.7868711999999998,2.5994824999999997,2.7641745,2.9531444000000002,2.8224399,2.6192635999999996,3.0284612999999996,3.14492,3.2604306999999997,3.3059484000000006,3.3362454999999995,3.2629455,3.2823395999999994,3.2795532,3.1544231,3.2110394999999996,2.9911996000000003,2.7214445,2.9410680000000005,3.2853589,3.2837881,3.1347340000000004,3.1681845999999996,3.0963656999999998,3.0035212,3.1471218999999997,3.1377773,3.0656754,2.9418032,3.0822035000000003,3.0188341000000003,3.0351337000000003,3.0453485999999996,3.2538327000000002,3.2689759,3.1515551,3.1490102,3.2817222,3.1013878999999998,3.1697990000000003,3.2680283,3.2731077999999996,3.3612321,3.2886136,3.2941324,3.373077
14		2.873777		10		2		5		0		3		0		7		0.6		1.0		-1.078707,-1.0825303750000002,-1.0852963,-0.9918579,-0.9039404000000001,-0.7886823000000001,-0.6123357000000001,-0.5608101999999999,-0.5041013000000001,-0.4653575999999999,-0.34769740000000005,-0.12762519999999997,-0.0022719999999999962,0.3040485,0.2039454,0.1477525,0.2466877,0.5062341000000001,0.5620387,0.5988327,0.4543037,0.5562973,0.9907109000000001,1.0757121,1.2207500999999998,1.2599969999999998,1.3473924,1.4348745,1.4126680999999999,1.4508328000000001,1.5112298,1.6386928,1.6381462,1.6216393,1.6792455,1.7712530999999998,1.7229222,1.6970593,1.7513779,1.726809,1.7669080999999998,1.8199985,1.8838775,1.8610725000000001,1.8652851000000001,1.9445774,1.9841815999999999,1.9889564,2.0051798,2.0784422000000005,2.1123366000000003,2.1116453999999996,2.1522213,2.1381561000000002,2.1434564000000003,2.166144,2.1966112,2.2238027000000002,2.2430249000000004,2.2439670000000005,2.2000515999999997,2.2428359,2.2727066000000002,2.3084142,2.2677454,2.2541442000000003,2.2966085,2.3754602,2.3876192,2.3954164,2.4266411000000003,2.4330627,2.4777460000000002,2.3449036,2.490174,2.4921342,2.418051,2.4325729,2.519819,2.5000098,2.5050553000000004,2.5370619,2.5557131999999996,2.5345134,2.5348402000000005,2.5309572999999994,2.5594863,2.575781,2.6064125000000002,2.6338160000000004,2.6417244999999996,2.6160066,2.6102375,2.5826301999999997,2.6208095,2.6085932999999994,2.5963184999999998,2.5915766,2.5870564000000003,2.6040304,2.873777
9		2.565936		10		5		2		1		0		4		5		0.6		1.0		1.26764225,1.0527285,1.2121111,1.5008519,1.6357411,0.9154504999999998,1.139997,2.3635941,2.5738876,1.2382365,1.7525832000000001,1.6344455,0.6628488,1.2340525,1.4519615000000001,0.8521657000000001,0.5756984,1.0362334,0.8720307999999999,1.2170257,1.783963,1.6350437,0.6304157000000001,0.5051513,0.9983507000000001,0.7894452000000001,0.5893813,0.7093318,1.1654776999999998,1.4048811,1.5296249000000002,1.5536961,1.5894148000000001,1.583117,1.0963577,0.2641561,0.19525340000000002,0.7822087000000002,0.6766364,0.6814623000000001,0.5477749,0.75247,1.0526810000000002,1.259173,1.4276171000000002,1.3104513,1.4061125999999997,1.2240038000000002,1.3125784,1.8734911,1.4713347,1.5389253,1.4951671,1.7976430999999997,1.6279971,1.7168343,1.5099614,1.3040654999999999,1.7099863,1.3805674,0.5082451,-0.015958000000000035,0.27580220000000005,0.2963673,1.0055711999999999,1.9151581,2.1917193999999998,1.9634135000000001,1.233082,1.7855722,2.5426958,2.2048796,1.3898195,1.0459303,1.5043524000000001,1.5381537000000003,1.5663588999999998,1.0743943,1.0419391,1.7169592000000002,1.6614844000000002,1.8035976000000002,2.0094164,2.351541,2.1007745,2.2214084,2.4380371,2.4880497,2.2943214999999997,2.7611216,2.6889487,2.6645604,2.4882729,2.3058610999999996,2.2778262,2.5383303000000006,2.5170152999999997,2.167736,1.6367833,2.1823259,2.565936
4		2.564419		15		5		3		0		0		11		4		0.4		1.0		-0.06196779999999995,0.10297922222222228,0.6973394,0.9955882,0.7469560000000001,0.9611278000000001,1.1789665,1.0361398000000002,0.916882,1.2054152999999999,1.3087890000000002,1.8356834999999996,2.2293054,2.0414961,1.9591169000000002,1.9597276000000001,2.3265064000000004,2.3388368999999996,2.1466377,2.2083603000000003,2.0927684,2.2107242,2.2519230000000006,2.3108696000000006,1.7342025999999997,1.6609675,1.5950309,2.1156348,2.1513292,2.2419255,2.4134429999999996,2.2286799,2.1651339,2.1059728,2.1121922,2.3448908,2.2346316,2.1925252,2.3417217,2.4035078,2.3390774,2.3365221000000003,2.137765,2.161081,2.3406529999999997,1.8741178,1.8472394,2.3593847,2.2911416,2.2869082,1.927169,1.9631789999999998,2.3761383,2.4537316000000002,2.4893852999999995,2.4586718999999997,2.4203553999999996,2.4006149999999997,2.3699392,2.3641135,2.4288519,1.9069194999999997,1.7137675999999995,2.1804208999999997,2.5112694,2.5050479,2.4173911000000006,2.4428428,2.4406146,2.4385827,2.1371897,1.9602164000000002,2.3284503,2.4983998,2.4544471,2.4715404,2.605728,2.446153,2.3332372,2.2810151,2.3377718,2.4879311999999993,2.4681093,2.3384464,2.2491957,2.1430730999999996,2.1389382,2.4726124,2.544747,2.3836413999999997,2.3950223,2.4260565,2.4297427,2.5250288999999997,2.5491794,2.4817674,2.4793516,2.4737501,2.3802927,2.3356697,2.564419
11		2.454792		5		1		5		0		0		0		5		0.8		1.0		0.23600925,0.16322937499999998,0.40363219999999994,-0.23028769999999996,-0.1326491,-0.12526909999999997,0.13759170000000004,0.3596272000000001,0.8742550000000001,0.6367255,0.9289002000000002,1.5021689999999999,2.1276155,2.1001741,0.7989841000000002,0.8959973,1.6007657000000002,2.954767,2.4373112000000003,2.4241788000000004,2.4340414000000004,1.5726423999999999,2.1594784,2.251536,2.2686062,2.8549032,2.6931467000000002,2.7609757000000004,2.7233407000000005,2.8434974,2.9153206000000003,2.8823084000000003,2.4997894,2.39467,2.5735485999999996,2.4627568,2.4439439,2.5235269,2.7791913999999998,2.5195491,1.7331893,1.8561856000000003,1.9539118000000002,2.3283522999999997,1.7991902,1.1073319000000001,2.2423563,1.6293028,1.9277517,2.3532784999999996,2.0088818,1.3274745000000003,0.33218460000000005,2.4263632,1.7428745000000003,1.8116595999999998,2.4269159,2.0761024999999997,1.2873642,0.29185250000000007,1.8052028999999998,2.0196014,1.7957179,2.2990346,1.6004845999999997,1.4049521,1.3983275000000002,0.9314076,1.2585681000000002,1.8218983999999998,1.1394365,0.5590212,1.122652,1.1338167000000001,1.3172677,1.2861976000000002,1.5202593,2.3756881000000005,2.2783195,2.3557940000000004,2.4750381,2.3078977,1.5956945,1.6065455,2.2039019,2.1955363,2.3163329999999998,2.6808903,2.7502107,2.6149561,2.6350684,2.5103821,2.4996742999999997,2.5789668000000003,2.2320021,2.0060099,1.9093171999999998,2.3797857,2.4926459999999997,1.9390158,2.454792
7		2.385165		25		5		5		0		8		2		15		0.0		1.0		-0.674611,-0.27132975000000004,0.0533972,0.6713687,0.7376208999999999,0.5973628,1.0499775999999998,1.2916671999999998,1.4511241999999998,1.5359212,1.5994167000000001,1.6828802,1.7817914000000001,1.9946521000000002,1.9798232999999996,2.0682029999999996,2.1238887,2.2991209,2.2350417,2.1841138,2.125703,2.0279229,2.0855851999999997,2.0467261,2.1709083,2.1658437,2.3070874,2.3178099000000003,2.3197883,2.3137948,2.3087383000000004,2.3080779,2.3166533,2.3260823000000004,2.3249284,2.3202230999999998,2.3229885,2.3259914000000004,2.3124668999999995,2.3160924,2.2632007999999995,2.2675953,2.3060748999999996,2.3241343999999993,2.3313064,2.3289353999999998,2.2085579,2.1824729,2.3007589,2.3199809000000005,2.3119252,2.3147752000000006,2.3361328,2.3145569999999998,2.3174227,2.2455935000000005,2.2524845,2.3261319,2.3040309,2.311461,2.3052625000000004,2.3050974999999996,2.2945498,2.3120697999999997,2.3066934,2.3284219,2.1672367,2.2721080000000002,2.3018722,2.3190907,2.2006889999999997,2.2061881000000003,2.2872942,2.3203419,2.3407092,2.3369850999999997,2.3401392,2.3277344999999996,2.3372365,2.2106921999999996,2.2095567000000003,2.3309299999999995,2.1322839,2.1297737000000003,2.2619553,2.3339985,2.3279061000000003,2.3190948000000002,2.2950654999999998,2.2935167,2.3407698999999997,2.3355302,2.3402637,2.3505996,2.3499328000000004,2.3488042,2.2716611,2.2532472,2.2509847,2.3473113,2.385165
10		2.377716		25		5		5		0		5		20		0		0.0		1.0		0.47026175000000003,0.4859485,0.6247309999999999,1.1964949,1.4174023000000002,1.7274732,2.3024924,2.3225359,2.3399059,2.3229624,2.3245515,2.3232993000000004,2.3250292999999997,2.3209489,2.3234896,2.3281942,2.3305058,2.3112455,2.3080107999999995,2.3166671000000005,2.3285840999999996,2.3051764,2.3012793,2.307715,2.3306810000000002,2.3354133,2.3359017,2.3383765,2.3265008000000003,2.3224571000000003,2.3217682,2.3349207,2.3426505000000004,2.3332656000000003,2.3348348000000003,2.3258959,2.3126214,2.3144406,2.3268869,2.3220403999999997,2.334026,2.3449553,2.331061,2.3308346,2.3355711,2.3348934,2.3358973,2.3316624,2.3272739,2.3326698,2.3345099,2.3317319999999997,2.3432107,2.3487744999999998,2.3533348,2.3455225,2.3444846000000004,2.3474279000000005,2.3438003,2.3437583,2.3518242999999996,2.352315,2.3522989,2.3490696,2.3472315000000004,2.3397284,2.3329397,2.3402435,2.3448965999999998,2.3453778,2.3505331000000003,2.3479025,2.3510809,2.3508062999999995,2.3506346000000002,2.3536534999999996,2.3564975,2.3556755,2.3515801,2.3477081,2.3524159,2.3490827000000003,2.3485970000000007,2.3487166000000004,2.3456742000000004,2.3489134,2.3478443,2.3511336999999997,2.3474656,2.3443387,2.3435113999999997,2.3439027,2.3537029,2.3506215,2.3535352000000005,2.3572575000000002,2.3551583000000003,2.3543478999999996,2.3628243,2.3642903000000004,2.377716
6		2.377429		24		5		5		0		0		18		6		0.0		0.96		0.10140349999999998,0.24674449999999998,0.1267909,0.34242729999999993,0.8488935,1.0948167,1.5106730000000002,1.7391507000000002,1.7030809000000002,1.8285366999999997,2.1465441000000003,2.2155139000000004,2.2926865,2.2870815,2.3022060000000004,2.3206246999999998,2.3297125999999997,2.3267302,2.329419,2.3312028,2.3221925000000003,2.3376674,2.3223804999999995,2.3132705000000002,2.2924382000000003,2.3100821,2.1909357,2.1914629000000003,2.3290794,2.3211127,2.3270765,2.3303013999999997,2.329719,2.3191862,2.3087220000000004,2.3242842999999995,2.3252002000000003,2.3219366,2.3267495,2.3233762000000002,2.3284766,2.3296245,2.3328418,2.3357622000000005,2.3324744999999996,2.3235770000000002,2.3210459,2.3356963,2.3113654000000006,2.3128213,2.3328587,2.338041,2.3407496,2.3468856,2.3226222,2.2676337999999996,2.3212034,2.3332252,2.3463695,2.3428639,2.3289631999999996,2.3274693999999996,2.3410938000000003,2.3491312999999994,2.3496599,2.3341423999999997,2.3268349,2.3419841999999997,2.3399042,2.3426661,2.3415188999999996,2.3344094,2.3330843000000003,2.3206979,2.3337621,2.3353889,2.3253712,2.3361473,2.3494262000000004,2.3485513,2.346314,2.3459105,2.345147,2.3362748,2.3502356000000004,2.3473541,2.3465046,2.3441292999999996,2.3319381999999997,2.3413657999999997,2.3337750999999995,2.3412169999999994,2.3451937999999997,2.3427756,2.3434880999999996,2.3411986,2.3457521999999997,2.3567196,2.3545132,2.3390747999999997,2.377429
16		2.377138		14		3		5		0		4		0		10		0.4		0.9333333333333333		-0.47040350000000003,-0.371936,-0.2540653,0.6894919999999999,1.0436877,1.2966140000000002,1.5610675,1.7383495,1.9631002,2.1827962,2.3168013000000003,2.3300116999999996,2.3282669,2.3319921,2.3332852999999996,2.3296158,2.3354482,2.3355001,2.3305451,2.3383934999999996,2.3402364999999996,2.3350559,2.3259205,2.3368624,2.3607734,2.3606684,2.3516119,2.3530646,2.354072,2.3570054999999996,2.3606702999999998,2.3520294999999996,2.358102,2.3583274000000003,2.35785,2.3590940999999996,2.3544226000000004,2.3510156,2.3547441,2.360631,2.358681,2.3569257,2.3576185,2.3555295000000003,2.3560347,2.3550831,2.3491855,2.3536653000000003,2.3565781,2.3538795000000006,2.3588502999999994,2.3593934,2.3585987,2.3602857000000004,2.3559492000000004,2.3582086999999996,2.3499662999999997,2.3530751999999997,2.3601643,2.3576953,2.3611348000000003,2.3602172,2.3599224,2.3597237,2.3609454,2.3616631000000003,2.362759,2.3593848,2.3570353,2.3619761999999995,2.3619064999999995,2.3617453999999998,2.3644153999999995,2.3642664,2.3588831,2.3557485,2.3622518,2.3643989999999997,2.3627764000000004,2.3639767,2.3655885,2.3661192,2.3667002,2.3605229999999997,2.3581126,2.3536178999999997,2.361641,2.3658379,2.3676576000000003,2.3621326,2.3621733,2.3628196000000004,2.3624302999999998,2.3586846,2.361433,2.3619782000000002,2.3590714000000004,2.3608640000000003,2.3649718,2.3651429999999998,2.377138
