label		fitness		size		width		height		num_rigid		num_soft		num_h		num_v		elongation		eccentricity		reward
0		2.09912		18		5		5		5		1		6		6		0.10622236189720824		0.8181818181818182		-0.9524315000000001,-0.7840162500000001,-0.6481863,-0.1403485,-0.15553450000000002,0.43066360000000004,1.3802564,1.6314906999999998,1.6791509999999998,1.681162,1.6787357,1.6911748,1.7005715,1.6957136000000002,1.7043431999999998,1.7059170000000001,1.7000551000000002,1.6761416,1.6801370000000002,1.6945852000000001,1.7072389000000001,1.7115882,1.7078216999999998,1.7157765,1.7351864,1.7331337999999998,1.7399894,1.7562264000000003,1.7517872999999997,1.8086796,1.8707748,1.9066544,1.8824158999999998,1.886233,1.8833191,1.8903367000000002,1.8922761000000001,1.8945756000000002,1.9383616,1.9356251,1.9345800999999998,1.9420593,1.950009,1.9498491000000002,1.9504121,1.9561577999999997,1.9590459000000002,1.9607179999999995,1.9558771,1.9605424,1.9630646999999999,1.9667535999999999,1.9682294999999996,1.9751017000000002,1.9780524,1.9749526999999998,1.9749240000000001,1.9612082000000002,1.9627463000000003,1.9614476,1.9848286999999996,1.9832094999999998,1.990587,1.9889454999999998,1.9827498,1.9942419,1.9988569999999997,2.0208917,2.0447589,2.0601893000000002,2.0119346,2.0579612999999997,2.0628341,2.0255494,2.0674265,2.035868,2.0353427,2.0686438,1.9736800000000003,1.9738246,2.0419115,1.9725669,2.0450714,2.0799390000000004,2.0788451,2.0496311999999994,2.0172386,1.9806788999999998,2.0456535,2.084206,2.0843271999999997,2.0843062,2.0853098,2.0855234000000005,2.0872174000000006,2.0689536000000004,2.0879678000000004,2.0877502,2.0894362,2.0875779000000003
1		2.07581		15		5		5		3		5		3		4		0.3186670856916245		0.8823529411764706		-0.89368175,-0.739447375,-0.5764602999999999,-0.4065297,-0.0350054,0.1301796,0.8012519000000001,1.0554285,1.0260741,0.4973887,0.6851366000000001,0.6826141000000001,0.25529960000000007,0.6904239,0.8994658,0.906879,1.1184081,1.349796,0.7132297999999999,0.5264816,1.3547173,1.3694807,1.3647705,1.5909392000000002,1.1378030000000001,1.137745,0.7706622000000001,1.0086755,1.4799647999999999,1.7062876,1.8229644,1.8245805999999998,1.8248538,1.8114702,1.5543035,1.5575298,1.8197614999999998,1.825009,1.8323566,1.822529,1.829842,1.5846847,1.5832099,1.8166487999999998,1.8279131,1.8408034,1.8440580999999998,1.8400449999999995,1.8445015999999999,1.8362646999999999,1.8361568,1.8431756999999998,1.8556083,1.8358232,1.8539109999999996,1.8591545999999997,1.8488478999999998,1.8535879999999998,1.8623094999999998,1.8581937,1.8522846999999998,1.846769,1.8471279000000003,1.8842615999999999,1.8891323,1.8801349000000003,1.8922663000000004,1.8707832,1.8647395999999996,1.860371,1.8929543,1.897645,1.8843906000000001,1.8932664000000003,1.8981452,1.8933792999999999,1.9098373000000002,1.9300104999999999,1.9228120999999998,1.7795066000000002,1.7784456,1.9242027,1.7226855,1.7517,1.7463093,1.9289695999999998,1.9271331,1.7265298999999998,1.7263998,1.9493684000000002,1.9615785000000003,1.9903321000000003,1.7920606,1.798562,1.7053827000000001,1.7092499,2.0402137,2.0454955999999997,1.8711196,2.0538019000000003
2		2.067999		13		5		5		2		4		4		3		0.3186670856916245		0.9285714285714286		0.69534175,0.794899625,0.8882618000000001,1.2297311,1.4925322,1.7203960000000003,1.8570202000000002,1.8615244999999998,1.8663033000000002,1.8670484999999999,1.8629640000000003,1.8735839000000003,1.8754392,1.8799500000000002,1.8823442999999997,1.8843577,1.8785440999999998,1.8837474,1.8919359999999998,1.8949238999999998,1.8910575,1.8916444,1.8927048,1.8930211000000003,1.8966821000000003,1.8993138000000003,1.9017620999999998,1.9006726999999999,1.8967350000000003,1.8964474999999996,1.8960954,1.8985308,1.8970932,1.8977003,1.9010982000000003,1.9005712000000003,1.8964461,1.8989318000000002,1.9005178999999999,1.8992524,1.9002737,1.9007963999999997,1.9030805000000004,1.9087799,1.9095959,1.9194139,1.9094874000000002,1.9117665,1.9066064999999999,1.9063983,1.9106721,1.9096427000000002,1.9080824,1.9136314999999997,1.9176111000000002,1.9181769,1.9196950999999998,1.9198513000000001,1.9199879,1.9342191,1.9349272,1.9340188999999999,1.9466468,1.9371046999999997,1.9360056999999997,1.9379916000000001,1.9385667000000002,1.9283056000000003,1.9299647999999998,1.9291941000000001,1.9260483000000002,1.9279635,1.9404623,1.9407825999999997,1.9642851999999997,1.9856653000000002,1.9744979999999999,1.9438458,1.9521224,1.9633372999999996,1.9515439999999997,1.9547728,1.9436855000000002,1.9422448000000003,1.9434022,1.9758878000000002,1.9890431,1.9774723,1.9897731,1.9898498,1.9912897,1.9675400000000003,2.0314759999999996,2.0339289999999997,2.0099571000000003,1.9956462,2.0339894000000003,2.0449423,2.0471331000000004,2.0475747000000006
3		2.040427		17		5		5		3		1		7		6		0.10622236189720824		0.7727272727272727		0.56512525,0.9449957499999999,1.1969369,1.5147515999999999,1.5461439,1.5642598,1.6324254,1.655113,1.6659810999999998,1.6800699000000001,1.7207731,1.7437761999999999,1.7439320999999999,1.7788547000000001,1.7652653999999999,1.7442986,1.7568845,1.8069716999999996,1.8113692000000001,1.8395478,1.8479706,1.8645298000000001,1.8808516000000002,1.8925104000000001,1.8701122,1.8739711999999997,1.8867787,1.8896779,1.8936887999999996,1.8971236999999999,1.8982681,1.8895501000000003,1.8922646999999997,1.8970446000000003,1.8992700000000002,1.8965825000000003,1.8928956000000003,1.8950033000000002,1.9025378,1.9025544,1.9019562,1.9093434999999999,1.9074079000000002,1.9036352,1.9067145,1.904662,1.9039704999999998,1.9062397999999998,1.9210242000000002,1.9208295,1.9248778999999998,1.932835,1.9350274000000003,1.9460234,1.9513027,1.9515522,1.9594605999999999,1.9594080000000003,1.96402,1.9708171,1.9871919999999998,1.9868683,1.9849986999999998,1.9853394000000002,1.9866287,1.9897493999999998,1.9915715999999999,1.9967619999999997,1.9920889,1.9905442999999998,1.999717,2.0000299999999998,2.0053010000000002,2.0048076,1.9996816,2.002585,2.0043572999999997,2.0051409,2.008648,2.0096672,2.0112162000000002,2.0111537999999998,2.0102475,2.0098373,2.0113291999999996,2.0151945,2.0195015,2.0222828999999996,2.0133323,2.0117411000000005,2.0157798,2.0197464,2.0202543,2.0245564999999996,2.0233707999999995,2.0253021,2.0234663999999998,2.0217155,2.0228536000000004,2.0247492
4		2.014727		18		5		5		3		3		6		6		0.10622236189720824		0.8181818181818182		-0.8428805,-0.6385976250000001,-0.2836551000000001,-0.1105578,0.0951339,0.43224460000000003,1.0254102,1.132696,1.1010896000000001,1.1602531000000003,1.634007,1.6568133,1.6817585999999998,1.670252,1.6681409999999999,1.668385,1.6893927999999998,1.6975933,1.6968901000000003,1.6949501000000002,1.7160119999999999,1.7118265999999998,1.7045492999999996,1.7180519,1.7122497000000003,1.7046789000000004,1.7111406000000002,1.7127898000000001,1.7166769,1.7231095,1.7174989,1.7242611,1.7147029,1.7119642,1.7111114,1.7220776,1.7314231,1.7290614999999998,1.726232,1.7341982000000002,1.7527014,1.7488371,1.7242969,1.7286191,1.7283591999999999,1.7849667,1.7859512,1.7717212999999998,1.7699152999999999,1.828743,1.7999606,1.7738028999999997,1.7920871999999999,1.8517663000000002,1.8709753,1.8951542,1.9345617000000002,1.9364154000000002,1.9429004000000003,1.9416128000000001,1.9442560000000004,1.9428766,1.9481490000000001,1.9514185000000002,1.947654,1.9470563000000003,1.9509042,1.9552885,1.9552504000000002,1.9626978999999998,1.9683419000000004,1.9742905,1.9769881000000002,1.9797777,1.9853085,1.9832119999999995,1.9847062000000002,1.983409,1.9579414999999998,1.9885680000000001,1.9898639,1.9926656999999999,1.9955464000000003,1.991407,1.9898170999999998,1.9943776,1.9938333,1.9962719,1.9922222,1.9957061,1.9988898,1.9995186,1.9980266999999998,1.9818988999999998,1.9801121000000002,1.9979453,2.0012209000000003,2.0033695999999996,1.9772846999999998,1.999129
5		2.013195		13		5		5		3		3		4		3		2.220446049250313e-16		0.8666666666666667		-0.7129542500000001,-0.41108475,-0.11133179999999998,-0.007382199999999994,0.40292279999999997,0.7833786999999999,1.1030872,1.2146675999999998,1.2705084,1.2401209000000002,1.3191262,1.3460819999999998,1.3663709,1.2774465000000002,1.3096117,1.4345383999999999,1.4567376,1.5329598,1.5631166,1.6245587999999997,1.6922682999999998,1.7303746,1.7491493999999999,1.7597943,1.7782285999999998,1.7853198,1.7845928,1.7852753,1.7920798999999998,1.8019791,1.8057265999999998,1.8057028,1.8091863999999998,1.8141294000000001,1.8252438999999998,1.8227090000000001,1.8371344,1.8559798,1.9002591000000002,1.9097483999999998,1.919457,1.9165593,1.9205461999999998,1.9208615999999998,1.9211444,1.9267896,1.9257978999999998,1.9268894999999997,1.9305781,1.9285416999999998,1.9303911,1.9325333,1.9343843,1.9468526000000002,1.9511783999999999,1.9546028,1.9622047999999999,1.9633506,1.9695373,1.9701293999999998,1.9754421,1.9784575,1.9845324999999998,1.9835678,1.9855993,1.9880221000000002,1.9907937,1.9930648999999998,1.9925325,1.9931248,1.9948715000000004,1.9959392999999999,1.9957955000000003,1.9981105,1.9985902,1.9971103,1.9959827999999997,1.9936303000000002,1.9961272,1.9975979,2.0009734999999997,2.0036466,2.0010912,2.0043833999999996,2.0053554,2.0045837,2.0060160999999996,2.0082304,2.006805,2.0051973,2.0028593000000003,2.0051867000000003,2.0076084,2.0072089000000006,2.0082763,2.0067923999999993,2.0061174,2.005863,2.0064516,2.007004
6		2.012869		17		5		5		5		1		4		7		0.21244472379441626		0.85		-0.8614975,-0.94067875,-0.8815082000000002,-0.8167987,-0.8219519,-0.7154427,-0.6237923999999999,-0.6534941,-0.6260202999999999,-0.6346395,-0.6446289999999999,-0.5318675,-0.4759507000000001,-0.3320957,-0.3225033,-0.311476,-0.2227074,0.2464858,0.14624029999999996,0.4578614,0.7270904,0.8236196,0.7787732999999999,0.8763049,1.0716296,1.0919449,1.2898125000000003,1.3558510000000001,1.4561490000000004,1.51906,1.5968358999999999,1.6550240000000003,1.7032485000000002,1.7437034,1.5264549,1.5323586999999999,1.7623421999999997,1.7978934,1.8023235000000004,1.8147930000000003,1.8212091999999998,1.8258879000000001,1.824957,1.8068132,1.8046192,1.8434063000000003,1.8415921000000004,1.8318162999999998,1.8425089,1.8587692,1.8638496999999998,1.8652684000000002,1.8547664999999998,1.8589646000000002,1.8632699,1.8611307,1.8671860000000002,1.8616215,1.8621303,1.8661354000000003,1.8579468,1.8614750999999998,1.8651799,1.8818718,1.8840011999999997,1.8857481,1.8835197999999997,1.8783131999999998,1.8765243999999999,1.8770391,1.8932113999999998,1.8857083999999997,1.8859291000000002,1.8882815000000002,1.8901895,1.9041653,1.9047762000000001,1.9036134,1.9043880000000002,1.8969383,1.9202440000000003,1.9181519000000002,1.9396356000000001,1.9589063,1.9533087999999998,1.9340025,1.9276262000000002,1.9473176000000003,1.9263466999999999,1.9293198,1.9182697000000002,1.9199300999999998,1.9257123999999997,1.9184869,1.9154246000000001,1.9396641000000003,1.9373357999999996,1.9348578,1.9510184000000002,1.962049
7		2.005178		14		4		5		2		1		1		10		0.20000000000000018		0.7777777777777778		1.74523925,1.748302125,1.7617472999999997,1.7666486,1.7840637000000001,1.7896939000000003,1.7899892000000002,1.7945909999999998,1.7905613999999996,1.7910597,1.8067946,1.8340097,1.8690645000000004,1.8734075999999997,1.8877406999999997,1.8919629999999998,1.9054421000000001,1.9359606,1.9402875000000002,1.9427676999999999,1.9414084000000003,1.9392318,1.9402101000000003,1.9397493999999997,1.9414816,1.9436554000000001,1.949915,1.9476349,1.9509955,1.9508406999999999,1.9518368000000001,1.9544054000000002,1.9480816,1.9445378999999998,1.9516776999999998,1.9507048,1.9506132999999999,1.9565177999999999,1.9555656999999997,1.9475512000000001,1.9508745,1.9573089,1.9582548,1.9558776999999998,1.9571017000000002,1.9579450999999999,1.9602812,1.9635532000000002,1.9655698000000001,1.9534457999999997,1.9255578,1.9314868,1.9311,1.9686629,1.9663874000000003,1.9649221000000003,1.9674444999999998,1.9622256,1.9626139000000002,1.9633589,1.9691644,1.9690466999999998,1.9666265000000003,1.9700488,1.9677308999999998,1.9712980999999998,1.9702064999999997,1.9719935999999998,1.9723115999999998,1.9730857,1.9701826,1.9697459000000002,1.9728873999999998,1.9746904,1.9723712,1.9737478,1.9727096,1.9736201999999998,1.9815245000000004,1.9822437000000002,1.9818852999999996,1.9764682,1.9737819,1.9709115999999998,1.9731099,1.9777897,1.9773761999999997,1.9800348999999997,1.9795937,1.9807389,1.9774631000000003,1.9774909,1.9845511999999998,1.9838628,1.9835036,1.9891773000000001,1.9887736,1.9887645000000003,1.9885102,1.9901081999999999
16		2.003506		16		5		5		4		1		7		4		0.10622236189720824		0.8421052631578947		-0.56818925,-0.48185612499999997,-0.11437179999999998,1.1286468,1.2077178000000002,1.3611593,1.6384465,1.6929298,1.6859508,1.6779747,1.6928079,1.6951086,1.7019194,1.7070677999999997,1.6970083000000002,1.7211064,1.7283034999999998,1.7450586000000001,1.7693295000000002,1.7546072000000001,1.7341677999999998,1.7158096,1.7061753,1.7125521,1.7166632,1.7518442,1.7650694999999998,1.7961737,1.7993568999999998,1.8010205000000004,1.797316,1.8192130000000002,1.8032711000000003,1.8136718000000003,1.8574101000000003,1.8909812,1.8906110999999999,1.8912480000000003,1.8942194999999997,1.8903097,1.8217382,1.8356023000000001,1.908223,1.9142936,1.9082890999999997,1.9185222000000004,1.913491,1.9163630999999999,1.9238048000000003,1.9133315,1.9238822,1.9237457,1.9264357,1.9401537999999998,1.9413150000000001,1.9391308000000003,1.93777,1.9397734,1.9404636000000004,1.9395024000000003,1.9401857,1.9380697999999998,1.9423573,1.9514428000000001,1.9577756000000002,1.9578920999999998,1.953811,1.959057,1.9630758999999998,1.9585399,1.9598752000000002,1.9631265,1.9627321000000002,1.9629678000000002,1.9656561,1.9684774999999999,1.9696990000000003,1.9678244,1.9700768,1.9714565999999998,1.9719528999999998,1.9667729,1.9627900999999999,1.967248,1.9714244,1.9744849999999996,1.9755657,1.9772608999999999,1.9843761999999998,1.9793903999999998,1.9795714999999998,1.9800855,1.9811315,1.9828824,1.9823902,1.9808665,1.9825507999999998,1.9851986,1.9846849,1.9873409000000002
8		2.002659		14		5		5		4		4		4		2		0.11884651994950868		0.875		1.0070635,1.109124875,1.3374763,1.8382952,1.9323953,1.9398363999999997,1.940971,1.9481378,1.9531837000000003,1.9540155,1.957225,1.9550843,1.9581045,1.964987,1.9652243000000003,1.9683848999999998,1.9668191,1.9779414999999996,1.9803938000000003,1.9752718000000002,1.9719539999999998,1.9770087,1.9737572,1.9735369999999999,1.9737525999999999,1.9740133999999998,1.9804353,1.9795265,1.9761251999999998,1.9795295000000004,1.9818052000000002,1.9864399,1.9837646,1.9803560999999998,1.9766433999999997,1.9794743000000004,1.9817448,1.9828175000000001,1.9861864,1.9841657000000001,1.9827784000000002,1.984376,1.9840938000000001,1.9845602,1.98616,1.990199,1.9885245,1.9892153000000001,1.9893933000000001,1.9890201,1.9874609999999997,1.9869124,1.9875845,1.9862338999999998,1.9854945999999998,1.9846791,1.9863806999999998,1.9863000999999998,1.9863668,1.9876835,1.9896369,1.9886565,1.9879685999999999,1.9899084000000002,1.9907409,1.9881822,1.9865111,1.9898803,1.9931489,1.9941961000000004,1.9893718,1.988824,1.9879431,1.9888243000000003,1.9893117999999999,1.9906931999999997,1.9927785999999998,1.9933686000000002,1.9939256,1.9950784,1.994779,1.9891680999999999,1.9903959,1.9925867999999998,1.9922673,1.9943493,1.9937491,1.9927557,1.9935892,1.9945079,1.9930271999999998,1.9927758999999998,1.9951455000000002,1.9947547,1.9944233,1.9948706999999999,1.9938346,1.9948412000000002,1.995707,1.9962393999999999
